,상품명,주종,도수,용량,원재료,가격수정,ml당_가격
339,원매,리큐르,15.0,750,"매실원주액,매실청,꿀,카라멜,효소처리스테비아,정제수",35000,46.67
340,원조 한산소곡주,약주,16.0,750,"찹쌀,멥쌀,누룩,대두,구절초",12000,16.0
341,원조소곡화주,일반증류주,41.0,300,"찹쌀,멥쌀,누룩",14000,46.67
342,월매 쌀막걸리,살균탁주,6.0,350,"백미,말토올리고당,정제수",1200,3.43
343,유기농 이도 42,증류식소주,42.0,750,유기농쌀,42000,56.0
344,유기농 이도14,약주,14.0,750,유기농쌀,20000,26.67
345,유자 동동주,탁주,6.0,750,쌀,1100,1.47
346,유자 생 막걸리,살균탁주,5.0,750,"쌀,유자,정제수,고과당,효모등",1800,2.4
347,율무 동동주,탁주,14.0,750,쌀,14000,18.67
348,은자골 곶감 생 탁배기,탁주,6.0,750,"백미,소맥분,정제수,곶감분말,전분당,국,누룩,효소,아스파탐등",1500,2.0
349,은자골 생 탁배기,탁주,5.0,750,"백미,소맥분,정제수,전분당,국,누룩,효소,아스파탐등",1500,2.0
350,이강주 2호,리큐르,25.0,750,"쌀,소맥분,정맥,배,생강,계피,울금,꿀",28000,37.33
351,이강주 375ml,리큐르,19.0,375,"쌀,소맥분,정맥,배,생강,계피,울금,꿀",4500,12.0
352,이강주 특7호,리큐르,25.0,400,"쌀,소맥분,정맥,배,생강,계피,울금,꿀",50000,125.0
353,이도 32,일반증류주,32.0,750,"물,증류원액",37000,49.33
354,이동 생 쌀 막걸리,탁주,6.0,750,"정제수,백미,팽화미,입국,아스파탐등",1300,1.73
355,이동 쌀 막걸리,살균탁주,6.0,1200,"정제수,백미,팽화미,입국,아스파탐등",1600,1.33
356,이상헌 약주,약주,18.0,500,"아산쌀,국",45000,90.0
357,이상헌 탁주,탁주,19.0,500,"아산쌀,국",25000,50.0
358,이화백주,탁주,6.0,940,"국내산햅쌀,전통누룩,정제수",12000,12.77
359,이화주,탁주,8.0,100,쌀,6500,65.0
360,인천 생 소성주,탁주,6.0,750,"쌀,팽화미,정제수,국,효모,아스파탐,효소,이소말토올리고당",1200,1.6
361,입장탁주,살균탁주,6.0,750,"쌀,정제수,고과당,효모등",1200,1.6
362,자두와인 레드,과실주,12.0,750,피자두,22000,29.33
363,자두와인 화이트,과실주,12.0,750,후무사,22000,29.33
364,자연담은 복분자막걸리,살균탁주,6.0,360,"복분자,쌀,효모,국,과당,구연산,젖산,정제수",56000,155.56
365,자희향,탁주,12.0,500,찹쌀,16000,32.0
366,자희향 국화주,약주,15.0,500,"찹쌀,멥쌀,누룩,정제수,국화",20000,40.0
367,자희향 나비,탁주,8.0,500,찹쌀,8000,16.0
368,장수 생 막걸리,탁주,6.0,750,백미,1200,1.6
369,장수 오미자주,과실주,16.5,360,오미자,5400,15.0
370,장홍삼 장수 막걸리,살균탁주,6.0,750,"백미,말토올리고당,홍삼분말",2000,2.67
371,정고집 나주배 약주 15%,약주,15.0,500,"쌀,쌀가루",20000,40.0
372,정고집 나주배 약주 9%,약주,9.0,500,"쌀,쌀가루",18000,36.0
373,정고집 나주쌀 생막걸리,탁주,6.0,750,"쌀,쌀가루",12000,16.0
374,정고집 옛날 생동동주,탁주,6.0,750,"쌀,쌀가루",18000,24.0
375,제주 고소리술,증류식소주,40.0,400,"잡곡,누룩,정제수",45000,112.5
376,젤코바 스페셜와인,과실주,11.5,375,"국내산산머루,포도",36000,96.0
377,젤코바 캠벨와인,과실주,13.5,750,"유기농캠벨포도,유기농설탕",62500,83.33
378,젤코바 프리미엄와인,과실주,12.0,500,"국내산산머루,포도",50000,100.0
379,조선주조사,청주,14.0,300,쌀,9000,30.0
380,주몽 복분자주,기타주류,16.0,375,"쌀,복분자",5000,13.33
381,주산지 막걸리,탁주,6.0,750,쌀,1200,1.6
382,죽력고,일반증류주,32.0,700,"국내산쌀,죽력,누룩,정제수",60000,85.71
383,줄포 생 막걸리,탁주,6.0,750,쌀,1200,1.6
384,지란지교 약주,약주,17.0,375,찹쌀·멥쌀,20000,53.33
385,지란지교 탁주,탁주,13.0,500,탁주찹쌀,30000,60.0
386,지리산 허브잎 술,살균탁주,6.0,750,쌀,1500,2.0
387,지리산 정담 생쌀 막걸리,탁주,6.0,750,쌀,1500,2.0
388,지장수 호박 생 막걸리,탁주,6.0,750,정제수,1400,1.87
389,지평 생 쌀막걸리 (700ml),탁주,5.0,700,쌀,1650,2.36
390,지평 생 쌀막걸리 (1.7L),탁주,5.0,1700,쌀,2700,1.59
391,지평 생 옛막걸리,탁주,5.0,1700,"밀,정제수,국,분말종국,효모,정제효소등",2500,1.47
392,진도홍주 루비콘,리큐르,40.0,375,"쌀,누룩,지초,정제수",10000,26.67
393,진맥소주 22%,증류식소주,22.0,375,유기농우리밀,22000,58.67
394,진맥소주 40%,증류식소주,40.0,200,유기농우리밀,49000,245.0
395,진맥소주 53%,증류식소주,53.0,200,유기농우리밀,88000,440.0
396,진심 홍삼주 19도,일반증류주,19.0,375,"쌀,정제주정,인삼침출액,홍삼농축액,고과당등",3000,8.0
397,진쾌남,리큐르,25.0,330,"국내산쌀,밤,누룩,구기자,오미자,산수유,오가피,동충하초,정제수",8500,25.76
398,찰막걸리 750ml,살균탁주,5.5,750,"정제수,쌀,밀가루,찹쌀,입국,효모정제효소제,아스파탐",30000,40.0
399,창원 생탁주,탁주,6.0,750,쌀,1000,1.33
400,천년담주,약주,15.0,500,백미,10000,20.0
401,천년전주 생 막걸리,살균탁주,6.0,750,"정제수,쌀,소맥분,수쿠랄로스,효모,젖산,정제효소",1300,1.73
402,천년주,일반증류주,25.0,375,쌀,15000,40.0
403,천등산 차례주,청주,11.0,700,쌀,5900,8.43
404,천마 이야기 막걸리,탁주,6.0,750,"팽화미,입국미,무주천마분말,오미자추출액",1500,2.0
405,천마몽,리큐르,38.0,375,"쌀,누룩,효모,천마,정제수",15000,40.0
406,천매,리큐르,30.0,600,"매실주원액,발효주정,정제수,꿀",130000,216.67
407,천비향 오양주 약주,약주,16.0,500,"국내산쌀,누룩",40000,80.0
408,천비향 오양주 탁주,탁주,14.0,500,"국내산쌀,누룩",18000,36.0
409,천비향 화주,증류식소주,40.0,375,"국내산쌀,누룩",50000,133.33
410,천안 연미주,살균약주,13.0,360,백미,5000,13.89
411,천지주가 생 막걸리,살균탁주,6.0,750,"쌀,정제수,국,효모등",1400,1.87
412,청남대 블루베리 막걸리,탁주,6.0,750,"국내산쌀,블루베리엑기스,효모,조효소재,물엿,아스파탐,정제수",25000,33.33
413,청명주 500,약주,17.0,500,"국내산찹쌀,누룩,소맥분",23000,46.0
414,청명주 750,약주,17.0,750,"국내산찹쌀,누룩,소맥분",36000,48.0
415,청산녹수 꿀막걸리,탁주,8.0,750,쌀,18000,24.0
416,청산녹수 사미인주,탁주,8.0,750,유기농햅쌀,32000,42.67
417,청산녹수 생탁주,탁주,6.0,750,쌀,12000,16.0
418,청세주,약주,18.0,375,쌀,4000,10.67
419,청송 얼음골 동동주,탁주,6.0,1200,쌀,1800,1.5
420,청송 주왕 사과막걸리,탁주,6.0,750,쌀,1500,2.0
421,청양 둔송 구기주,약주,16.0,700,"쌀,누룩,구기자,감초,두충껍질",23000,32.86
422,청진주,약주,16.0,375,"찹쌀,누룩,정제수",30000,80.0
423,청춘,청주,15.0,750,"쌀,누룩,정제수",20000,26.67
424,초선의 꿈 (로제),과실주,12.0,375,국내산포도,20000,53.33
425,추사 로제,과실주,12.0,375,사과,20000,53.33
426,추사 애플와인,과실주,12.0,375,사과,20000,53.33
427,추사40,일반증류주,40.0,500,사과,60000,120.0
428,추사백25,일반증류주,25.0,350,증류원액,12000,34.29
429,추사블루,과실주,12.0,375,블루베리,20000,53.33
430,추성주,일반증류주,25.0,700,"쌀,정제수,누룩,오미자,구기자,상심자,갈근",80000,114.29
431,추시와인,기타주류,12.5,750,감,16000,21.33
432,충주 백주,일반증류주,35.0,375,쌀증류원액,7800,20.8
433,컨츄리 산머루 와인 (드라이),과실주,14.0,750,국산산머루원액,20000,26.67
434,컨츄리 산머루 와인 (스위트),과실주,12.0,750,국산산머루원액,20000,26.67
435,컨츄리캠벨 (스위트),과실주,12.0,750,국산포도원액,15000,20.0
436,"코이버펑크, 머스캣 베일리 에이",과실주,12.0,750,와이너리재배포도,65000,86.67
437,"코이버펑크, 샤르도네 세미용 블렌드",과실주,11.0,750,와이너리재배포도,65000,86.67
438,쿨샷7.5,과실주,7.5,300,"복분자과실,주정,효모,구연산,정제수",60000,200.0
439,크라테 레드와인 드라이,과실주,11.5,750,산머루,48000,64.0
440,크라테 레드와인 스위트,과실주,11.5,750,산머루,48000,64.0
441,크라테 로제와인,과실주,11.5,375,산머루,18000,48.0
442,타미앙스,일반증류주,40.0,500,"쌀,정제수,누룩,오미자,구기자,상심자,갈근",50000,100.0
443,톡 쏘는 복분자 막걸리,살균탁주,6.0,750,"쌀,정제수,쌀입국,복분자원액,효모등",1800,2.4
444,톡 쏘는 알밤동동,기타주류,6.0,350,"쌀,정제수,입국,밤농축액,밤추출물등",1300,3.71
445,톡 한잔 골드,리큐르,43.0,500,"찰보리,쌀10%,민들레분말,볶음보리",49000,98.0
446,톡 한잔 소주,증류식소주,30.0,500,"찰보리,쌀10%",10000,20.0
447,티나,리큐르,16.0,750,"딸기추출물,죽력,정제수,주정,액상과당",54000,72.0
448,펀치 쌀 바나나,기타주류,4.0,750,쌀,2000,2.67
449,편백숲 산소막걸리,탁주,5.2,750,"멥쌀,올리고당,사과농축액,누룩,아스파탐",1900,2.53
450,편백숲 산소막걸리 딸기스파클링,탁주,6.8,940,"멥쌀,찹쌀,누룩,딸기,올리고당",41000,43.62
451,편백숲 산소막걸리 순수령,탁주,5.8,750,"멥쌀,찹쌀,누룩",4000,5.33
452,평창 오디주,과실주,16.0,360,국내산오디,19500,54.17
453,평창 머루주,과실주,16.0,360,국내산산머루,19500,54.17
454,포엠 레드 드라이와인,과실주,12.0,750,포도,25000,33.33
455,포엠 레드 스위트와인,과실주,12.0,750,포도,25000,33.33
456,포엠 로제와인,과실주,12.0,750,포도,35000,46.67
457,포엠 화이트와인,과실주,12.0,750,청포도,35000,46.67
458,풍남문,기타주류,5.0,1000,보리,27000,27.0
459,풍정사계 동,증류식소주,42.0,375,"국내산찹살,향온곡",25000,66.67
460,풍정사계 추(秋),탁주,12.0,500,"국내산찹살,향온곡",15000,30.0
461,풍정사계 춘(春),약주,15.0,500,"국내산찹살,향온곡",30000,60.0
462,풍정사계 하(夏),약주,18.0,500,"국내산찹살,향온곡",35000,70.0
463,필 FEEL,증류식소주,40.0,500,백미,25000,50.0
464,하향주,약주,17.0,750,"국내산찹쌀,누룩,정제수",45000,60.0
465,하향주 증류주,일반증류주,45.0,700,"국내산찹쌀,누룩,정제수",70000,100.0
466,한비 동충하초술,리큐르,35.0,375,"국내산쌀,누룩,가시오가피뿌리,동충하초,정제수",30000,80.0
467,한비 무병장수술,리큐르,35.0,375,"국내산쌀,흑삼,인삼,오가피,오미자,구기자,복분자,차전자,토사자,산수유",30000,80.0
468,한비 쌀소주,증류식소주,40.0,375,"국내산쌀,누룩,정제수",30000,80.0
469,한비 오가피술,리큐르,35.0,375,"국내산쌀,누룩,가시오가피뿌리,정제수",30000,80.0
470,한산소곡주 700ml,살균약주,18.0,700,"찹쌀,누룩,백미,정제수,야국,메주콩,생강,홍고추",15000,21.43
471,한산소곡주 360ml,살균약주,18.0,360,"찹쌀,누룩,백미,정제수,야국,메주콩,생강,홍고추",6500,18.06
472,한산소곡주(살균주),살균약주,16.0,750,"찹쌀,누룩,백미,정제수",12000,16.0
473,한산소곡주(살균주),약주,16.0,750,"찹쌀,누룩,백미,정제수",12000,16.0
474,한스오차드 사과와인,과실주,11.0,750,국산사과원액,20000,26.67
475,한시울,증류식소주,40.0,500,"국내산쌀,누룩,효모,구연산,정제수",18000,36.0
476,한주,증류식소주,35.0,360,"국내산쌀,밀누룩,정제수",12000,33.33
477,해미읍성 딸기와인,과실주,12.0,500,해미딸기,20000,40.0
478,해미읍성 매실와인,과실주,12.0,500,매실,20000,40.0
479,해미읍성 모과와인,과실주,12.0,500,모과,20000,40.0
480,해미읍성 살구와인,과실주,12.0,500,살구,20000,40.0
481,해방주 18.8%,일반증류주,18.8,375,쌀,12000,32.0
482,해방주 38%,일반증류주,38.0,800,쌀,45000,56.25
483,해창 생 막걸리 12도,탁주,12.0,900,"햅쌀,찹쌀,물,누룩",10000,11.11
484,해창 생 막걸리 6도,탁주,6.0,900,"햅쌀,찹쌀,물,누룩",3000,3.33
485,해창 생 막걸리 9도,탁주,9.0,900,"햅쌀,찹쌀,물,누룩",6000,6.67
486,해파랑,약주,13.0,375,쌀,10000,26.67
487,햇찹쌀이 하늘수,탁주,6.0,500,쌀,1100,2.2
488,행운 막걸리,탁주,6.0,750,쌀,1100,1.47
489,행운주,청주,12.0,750,백미,9000,12.0
490,향수 우리밀 막걸리,탁주,9.0,700,"우리밀,누룩,정제수,무감미료",7900,11.29
491,허니문와인,기타주류,10.0,375,국내산벌꿀,35000,93.33
492,허니비 와인,기타주류,8.0,500,국내산벌꿀,35000,70.0
493,호담 산양산삼 막걸리,탁주,6.0,750,쌀,16000,21.33
494,호담 산양산삼주,약주,13.0,375,"산양산삼,정제주,주정",4000,10.67
495,호담,리큐르,20.0,300,"산양산삼,정제수,주정",18000,60.0
496,호땅,기타주류,6.0,750,쌀,2700,3.6
497,호랑이 생 막걸리,탁주,6.0,750,"쌀,정제수,국,효모,젖산등",2200,2.93
498,호모루덴스,탁주,12.0,500,"쌀,누룩,정제수",12000,24.0
499,혼디주,과실주,12.0,330,감귤,8000,24.24
500,홍로,일반증류주,45.0,500,"백련,찹쌀,멥쌀,누룩,자초",50000,100.0
501,홍삼 인삼주,일반증류주,38.0,750,"쌀,정제주정,인삼침출액,홍삼농축액,고과당등",70000,93.33
502,홍삼명주 375ml,기타주류,14.0,375,"홍삼추출액,효모,정백당,정제수",12000,32.0
503,홍삼명주 500ml,기타주류,14.0,500,"홍삼추출액,효모,정백당,정제수",16000,32.0
504,홍삼진심 인삼주 (1set),일반증류주,19.0,375,"쌀,정제주정,인삼침출액,홍삼농축액,고과당등",7000,18.67
505,홍삼진심 인삼주 (2set),일반증류주,19.0,375,"쌀,정제주정,인삼침출액,홍삼농축액,고과당등",14000,37.33
506,홍천강 탁주,탁주,11.0,500,"홍천쌀,정제수,국",10000,20.0
507,화주,일반증류주,25.0,375,"국내산쌀,홍삼농축액,정제수",13000,34.67
508,황금보리소주17,증류식소주,17.0,375,"보리,누룩,정제수",25000,66.67
509,황금보리소주25,증류식소주,25.0,375,"보리,누룩,정제수",42500,113.33
510,황금보리소주40,증류식소주,40.0,375,"보리,누룩,정제수",78500,209.33
511,황진이,살균약주,12.0,375,"쌀,오미자,산수유",3500,9.33
512,황칠주,기타주류,16.0,365,황칠나무잎,9900,27.12
513,회곡 생 동동주,탁주,7.0,1200,"쌀,입국,누룩,아스파탐,효모,정제수,아세설팜칼륨",1300,1.08
514,회곡 생 막걸리,탁주,6.0,750,"쌀,입국,누룩,아스파탐,효모,정제수,아세설팜칼륨",1300,1.73
515,흑돈주,기타주류,16.0,365,황칠나무,12000,32.88
516,희양산막걸리 15%,탁주,15.0,500,쌀,9500,19.0
517,희양산막걸리 9%,탁주,9.0,750,쌀,8000,10.67
