,상품명,주종,도수,용량,원재료,가격수정,ml당_가격,맛,바디감,향,목넘김,신맛,청량감,단맛,균형감
47,귀감,일반증류주,25.0,350,감귤과즙,25000,71.43,,3.0,3.0,2.0,,,,
48,그랑꼬또 M56,과실주,12.0,750,포도,21000,28.0,,,,,3.0,1.0,2.0,
49,그랑꼬또 M5610,과실주,10.0,750,포도,56000,74.67,,2.0,,,3.0,3.0,4.0,
50,그랑꼬또 레드와인,과실주,12.0,750,포도,35000,46.67,,2.0,,,3.0,3.0,3.0,
51,그랑꼬또 로제와인,과실주,12.0,750,포도,21000,28.0,,,,,3.0,1.0,2.0,
52,그랑꼬또 청수,과실주,12.0,750,포도,60000,80.0,,,,,1.0,3.0,2.0,
53,그랑꼬또 화이트와인,과실주,12.0,750,포도,40000,53.33,,2.0,,,3.0,3.0,3.0,
54,그랑티 그르 S1974,과실주,12.0,750,포도,40000,53.33,,,,,3.0,2.0,1.0,
55,그랑티그르CE2002,과실주,12.0,750,포도,40000,53.33,,3.0,,,2.0,2.0,3.0,
56,그랑티그르M1988,과실주,12.0,750,포도,40000,53.33,,3.0,,,3.0,2.0,3.0,
57,금산인삼주,약주,12.5,375,"쌀,인삼,누룩,정제수등",12000,32.0,1.0,3.0,4.0,,,,,
58,금정산성 막걸리,탁주,8.0,750,"백미,밀누룩,정제수,아스파탐",19000,25.33,,,,,3.0,2.0,1.0,
59,기다림 16,탁주,9.0,750,찹쌀,11000,14.67,,3.0,,,4.0,2.0,2.0,
60,기다림 25,탁주,8.0,750,백미,9900,13.2,,2.0,,,4.0,2.0,2.0,
61,기다림 34,탁주,12.0,500,멥쌀,15000,30.0,,3.0,,,3.0,3.0,3.0,
62,기다림 맑은술,약주,15.0,500,멥쌀,25000,50.0,,3.0,,,3.0,3.0,4.0,
63,김천 과하주 23도,기타주류,23.0,700,"멥쌀,누룩,샘물,황국잎",22000,31.43,1.0,2.0,1.0,,,,,
64,김천과하주 16도,약주,16.0,700,"찹쌀,누룩,샘물,황국잎",20000,28.57,,,,,2.0,1.0,1.0,
65,김포별주,살균약주,13.0,500,"쌀,옥수수전분,국,효모,젖산,효소제,정제수",4000,8.0,,3.0,,,1.0,1.0,3.0,
66,김포약주 PET,살균약주,11.0,750,"옥수수전분,밀,국,효모,젖산,효소제,정제수",9000,12.0,,2.0,,,2.0,1.0,1.0,
67,김포약주 유리병,살균약주,11.0,750,"옥수수전분,밀,국,효모,젖산,효소제,정제수",10000,13.33,,2.0,,,2.0,1.0,1.0,
68,김포예주 프리미엄,살균약주,13.0,750,"국내산쌀,국,효모,젖산,정제수",15000,20.0,,4.0,,,1.0,1.0,2.0,
69,김포특주,약주,15.0,375,"국내산쌀,효모,정제효소,정제수,프락토올리고당",3000,8.0,,2.0,,,4.0,2.0,4.0,
70,까메오 막걸리,살균탁주,6.0,550,정제수,5000,9.09,,,,,1.0,2.0,3.0,
71,나루 생막걸리 11.5%,탁주,11.5,500,쌀,11000,22.0,,5.0,,,1.0,1.0,4.0,
