,상품명,주종,도수,용량,원재료,가격수정,ml당_가격,맛,바디감,향,목넘김,신맛,청량감,단맛,균형감
459,풍남문,기타주류,5.0,1000,보리,27000,27.0,,2.0,,,3.0,4.0,2.0,
460,풍정사계 동,증류식소주,42.0,375,"국내산찹살,향온곡",25000,66.67,2.0,3.0,3.0,,,,,
461,풍정사계 추(秋),탁주,12.0,500,"국내산찹살,향온곡",15000,30.0,,,,,2.0,1.0,1.0,
462,풍정사계 춘(春),약주,15.0,500,"국내산찹살,향온곡",30000,60.0,,,,,1.0,1.0,2.0,
463,풍정사계 하(夏),약주,18.0,500,"국내산찹살,향온곡",35000,70.0,,,,,1.0,1.0,4.0,
464,필 FEEL,증류식소주,40.0,500,백미,25000,50.0,,3.0,3.0,4.0,,,,
465,하향주,약주,17.0,750,"국내산찹쌀,누룩,정제수",45000,60.0,,4.0,,,3.0,1.0,3.0,
466,하향주 증류주,일반증류주,45.0,700,"국내산찹쌀,누룩,정제수",70000,100.0,,4.0,3.0,3.0,,,,
467,한비 동충하초술,리큐르,35.0,375,"국내산쌀,누룩,가시오가피뿌리,동충하초,정제수",30000,80.0,,4.0,4.0,1.0,,,,
468,한비 무병장수술,리큐르,35.0,375,"국내산쌀,흑삼,인삼,오가피,오미자,구기자,복분자,차전자,토사자,산수유",30000,80.0,,4.0,5.0,2.0,,,,
469,한비 쌀소주,증류식소주,40.0,375,"국내산쌀,누룩,정제수",30000,80.0,,2.0,2.0,3.0,,,,
470,한비 오가피술,리큐르,35.0,375,"국내산쌀,누룩,가시오가피뿌리,정제수",30000,80.0,,3.0,2.0,2.0,,,,
471,한산소곡주 700ml,살균약주,18.0,700,"찹쌀,누룩,백미,정제수,야국,메주콩,생강,홍고추",15000,21.43,,4.0,,,1.0,,3.0,
472,한산소곡주 360ml,살균약주,18.0,360,"찹쌀,누룩,백미,정제수,야국,메주콩,생강,홍고추",6500,18.06,,4.0,,,1.0,,3.0,
473,한산소곡주(살균주),살균약주,16.0,750,"찹쌀,누룩,백미,정제수",12000,16.0,,,,,1.0,1.0,4.0,
474,한스오차드 사과와인,과실주,11.0,750,국산사과원액,20000,26.67,,2.0,,,3.0,2.0,4.0,
475,한시울,증류식소주,40.0,500,"국내산쌀,누룩,효모,구연산,정제수",18000,36.0,,4.0,4.0,3.0,,,,
476,한주,증류식소주,35.0,360,"국내산쌀,밀누룩,정제수",12000,33.33,,3.0,3.0,3.0,,,,
477,해미읍성 딸기와인,과실주,12.0,500,해미딸기,20000,40.0,,3.0,,,2.0,1.0,3.0,
478,해미읍성 매실와인,과실주,12.0,500,매실,20000,40.0,,4.0,,,1.0,2.0,5.0,
479,해미읍성 모과와인,과실주,12.0,500,모과,20000,40.0,,3.0,,,2.0,2.0,3.0,
480,해미읍성 살구와인,과실주,12.0,500,살구,20000,40.0,,3.0,,,2.0,2.0,3.0,
481,해방주 18.8%,일반증류주,18.8,375,쌀,12000,32.0,,2.0,2.0,2.0,,,,
482,해방주 38%,일반증류주,38.0,800,쌀,45000,56.25,,3.0,3.0,3.0,,,,
483,해창 생 막걸리 12도,탁주,12.0,900,"햅쌀,찹쌀,물,누룩",10000,11.11,,,,,1.0,2.0,1.0,
484,해창 생 막걸리 6도,탁주,6.0,900,"햅쌀,찹쌀,물,누룩",3000,3.33,,,,,1.0,3.0,1.0,
485,해창 생 막걸리 9도,탁주,9.0,900,"햅쌀,찹쌀,물,누룩",6000,6.67,,,,,1.0,2.0,1.0,
486,해파랑,약주,13.0,375,쌀,10000,26.67,,3.0,,,1.0,1.0,3.0,
487,햇찹쌀이 하늘수,탁주,6.0,500,쌀,1100,2.2,,3.0,,,3.0,3.0,3.0,
488,행운 막걸리,탁주,6.0,750,쌀,1100,1.47,,4.0,,,1.0,1.0,3.0,
489,행운주,청주,12.0,750,백미,9000,12.0,,2.0,,,2.0,2.0,2.0,
490,향수 우리밀 막걸리,탁주,9.0,700,"우리밀,누룩,정제수,무감미료",7900,11.29,,5.0,,,3.0,3.0,2.0,
491,허니문와인,기타주류,10.0,375,국내산벌꿀,35000,93.33,,2.0,,,2.0,2.0,4.0,
492,허니비 와인,기타주류,8.0,500,국내산벌꿀,35000,70.0,,,,,1.0,1.0,3.0,
493,호담 산양산삼 막걸리,탁주,6.0,750,쌀,16000,21.33,,1.0,,,3.0,3.0,1.0,
494,호담 산양산삼주,약주,13.0,375,"산양산삼,정제주,주정",4000,10.67,,,,,1.0,1.0,1.0,
495,호담,리큐르,20.0,300,"산양산삼,정제수,주정",18000,60.0,2.0,2.0,2.0,,,,,
496,호땅,기타주류,6.0,750,쌀,2700,3.6,,4.0,,,1.0,2.0,3.0,
497,호랑이 생 막걸리,탁주,6.0,750,"쌀,정제수,국,효모,젖산등",2200,2.93,,,,,1.0,2.0,4.0,
498,호모루덴스,탁주,12.0,500,"쌀,누룩,정제수",12000,24.0,,4.0,,,2.0,2.0,1.0,
499,혼디주,과실주,12.0,330,감귤,8000,24.24,,2.0,,,3.0,3.0,4.0,
500,홍로,일반증류주,45.0,500,"백련,찹쌀,멥쌀,누룩,자초",50000,100.0,,2.0,4.0,2.0,,,,
501,홍삼 인삼주,일반증류주,38.0,750,"쌀,정제주정,인삼침출액,홍삼농축액,고과당등",70000,93.33,,,,,1.0,1.0,1.0,
502,홍삼명주 375ml,기타주류,14.0,375,"홍삼추출액,효모,정백당,정제수",12000,32.0,,1.0,,,3.0,,1.0,
503,홍삼명주 500ml,기타주류,14.0,500,"홍삼추출액,효모,정백당,정제수",16000,32.0,,1.0,,,3.0,,1.0,
504,홍삼진심 인삼주 (1set),일반증류주,19.0,375,"쌀,정제주정,인삼침출액,홍삼농축액,고과당등",7000,18.67,,,,,1.0,1.0,1.0,
505,홍삼진심 인삼주 (2set),일반증류주,19.0,375,"쌀,정제주정,인삼침출액,홍삼농축액,고과당등",14000,37.33,,,,,1.0,1.0,1.0,
506,홍천강 탁주,탁주,11.0,500,"홍천쌀,정제수,국",10000,20.0,,,,,3.0,2.0,2.0,
507,화주,일반증류주,25.0,375,"국내산쌀,홍삼농축액,정제수",13000,34.67,,1.0,2.0,3.0,,,,
508,황금보리소주17,증류식소주,17.0,375,"보리,누룩,정제수",25000,66.67,,2.0,2.0,2.0,,,,
509,황금보리소주25,증류식소주,25.0,375,"보리,누룩,정제수",42500,113.33,,2.0,3.0,2.0,,,,
510,황금보리소주40,증류식소주,40.0,375,"보리,누룩,정제수",78500,209.33,,3.0,3.0,3.0,,,,
511,황진이,살균약주,12.0,375,"쌀,오미자,산수유",3500,9.33,,,,,2.0,1.0,3.0,
512,황칠주,기타주류,16.0,365,황칠나무잎,9900,27.12,,2.0,2.0,3.0,,,,
513,회곡 생 동동주,탁주,7.0,1200,"쌀,입국,누룩,아스파탐,효모,정제수,아세설팜칼륨",1300,1.08,,,,,2.0,3.0,3.0,
514,회곡 생 막걸리,탁주,6.0,750,"쌀,입국,누룩,아스파탐,효모,정제수,아세설팜칼륨",1300,1.73,,,,,2.0,2.0,2.0,
515,흑돈주,기타주류,16.0,365,황칠나무,12000,32.88,,2.0,2.0,3.0,,,,
516,희양산막걸리 15%,탁주,15.0,500,쌀,9500,19.0,,5.0,,,4.0,1.0,3.0,
517,희양산막걸리 9%,탁주,9.0,750,쌀,8000,10.67,,3.0,,,3.0,2.0,2.0,
