,상품명,맛,바디감,향,목넘김,신맛,청량감,단맛,균형감
393,이상헌 탁주,,3.0,,,3.0,3.0,2.0,
394,이화백주,,3.0,,,3.0,4.0,3.0,
395,이화주,,,,,1.0,1.0,4.0,
396,인천 생 소성주,,,,,2.0,1.0,1.0,
397,입장탁주,,,,,2.0,2.0,2.0,
398,자두와인 레드,,,,,3.0,2.0,2.0,
399,자두와인 화이트,,,,,3.0,2.0,2.0,
400,자연담은 복분자막걸리,,,,,1.0,1.0,2.0,
401,자희향 국화주,,,,,2.0,1.0,1.0,
402,자희향 나비,,,,,1.0,2.0,2.0,
403,자희향,,,,,2.0,1.0,2.0,
404,장수 생 막걸리,,,,,3.0,3.0,2.0,
405,장수 오미자주,,3.0,,,4.0,4.0,3.0,
406,장홍삼 장수 막걸리,,,,,4.0,3.0,1.0,
407,정고집 나주배 약주 15%,,3.0,,,2.0,3.0,4.0,
408,정고집 나주배 약주 9%,,2.0,,,2.0,3.0,4.0,
409,정고집 나주쌀 생막걸리,,3.0,,,3.0,3.0,3.0,
410,정고집 옛날 생동동주,,3.0,,,3.0,4.0,3.0,
411,젤코바 스페셜와인,,3.0,,,4.0,2.0,2.0,
412,젤코바 캠벨와인,,3.0,,,4.0,2.0,3.0,
413,젤코바 프리미엄와인,,4.0,,,4.0,2.0,1.0,
414,조선주조사,,3.0,,,3.0,2.0,3.0,
415,주몽 복분자주,,,,,1.0,1.0,3.0,
416,주산지 막걸리,,2.0,,,1.0,2.0,2.0,
417,줄포 생 막걸리,,,,,2.0,3.0,2.0,
418,지란지교 약주,,4.0,,,4.0,,4.0,4.0
419,지리산 정담 생쌀 막걸리,,,,,3.0,2.0,1.0,
420,지리산 허브잎 술,,,,,2.0,2.0,1.0,
421,지장수 호박 생 막걸리,,,,,1.0,2.0,3.0,
422,지평 생 쌀막걸리 (1.7L),,,,,1.0,4.0,4.0,
423,지평 생 쌀막걸리 (700ml),,,,,1.0,4.0,4.0,
424,지평 생 옛막걸리,,,,,1.0,2.0,4.0,
425,진심 홍삼주 19도,,,,,1.0,1.0,3.0,
426,찰막걸리 750ml,,,,,2.0,3.0,2.0,
427,창원 생탁주,,3.0,,,3.0,3.0,3.0,
428,천년담주,,4.0,,,1.0,1.0,2.0,
429,천년전주 생 막걸리,,,,,1.0,2.0,1.0,
430,천등산 차례주,,3.0,,,2.0,2.0,3.0,
431,천마 이야기 막걸리,,,,,2.0,2.0,2.0,
432,천비향 오양주 약주,,3.0,,,2.0,1.0,2.0,
433,천비향 오양주 탁주,,3.0,,,2.0,1.0,2.0,
434,천안 연미주,,,,,3.0,4.0,2.0,
435,천지주가 생 막걸리,,,,,2.0,2.0,3.0,
436,청남대 블루베리 막걸리,,2.0,,,2.0,3.0,3.0,
437,청명주 500,,4.0,,,4.0,2.0,4.0,
