,상품명,keyword
300,연천 연주,"['#연천', '#누룩', '#양조']"
301,연천 우주,"['#연천', '#율무', '#양조']"
302,영일만친구 막걸리,"['#제품', '#포항', '#우뭇가사리', '#동명주']"
303,예담은 한산소곡화주,"['#소곡주', '#있는', '#한산소', '#빚는', '#사용', '#전통', '#누룩']"
304,예밀와인 레드 드라이,"['#강원도', '#영월', '#와인', '#와이너리', '#포도', '#한국와인', '#드라']"
305,예밀와인 레드 스위트,"['#강원도', '#영월', '#와이너리', '#와인', '#포도', '#예밀와']"
306,예밀와인 로제,"['#강원도', '#와인', '#영월', '#와이너리', '#포도', '#있는', '#예밀와']"
307,예주,"['#전통주', '#양조장', '#복분자', '#제조']"
308,예천주 사월24,"['#오미자', '#사월', '#특별', '#증류']"
309,예천주 사월365,"['#오미자', '#사월', '#특별', '#증류']"
310,예천주복 만월24,"['#만월', '#복분자', '#제품']"
311,예천주복 만월40,"['#만월', '#복분자', '#제품']"
312,예화,"['#있는', '#전통', '#제품', '#제조', '#가야곡왕주']"
313,옛날 막걸리 古,"['#정통', '#막걸리']"
314,오가피와인,"['#오가피', '#열매', '#와인']"
315,오디랑,['#오디']
316,오매락퍽,"['#맛과', '#특별']"
317,오매백주,"['#오산', '#막걸리', '#양조장', '#전통']"
318,오메기 맑은술,"['#술을', '#오메기', '#맑은', '#양조장']"
319,오메기 술,"['#제주', '#오메기', '#술이', '#만들']"
320,오목대,"['#크래프트', '#있는', '#맥주', '#발포주', '#정신', '#전주']"
321,오미로제 프리미어와인,"['#오미자', '#와인', '#양조', '#프리미어']"
322,오미시앙 스페셜,['#오미자']
323,오미자 생막걸리,"['#오미자', '#막걸리', '#문경']"
324,오산막걸리,"['#오산', '#막걸리', '#양조장', '#전통']"
325,오희 스파클링 막걸리,"['#오미자', '#가지', '#전통', '#막걸리', '#문경', '#선정', '#스파']"
326,왕율주,['#사곡']
327,왕피천을 품은 미소생막걸리,"['#있는', '#양조장', '#울진', '#막걸리', '#지역']"
328,우곡생주,['#배정']
329,우도 땅콩 전통주,"['#양조장', '#세종', '#전통']"
330,운암1945,"['#전통주', '#스마트팩토리']"
331,원매 프리미엄,"['#원매', '#매실', '#수상', '#프리미엄', '#국내', '#만든', '#주류']"
332,원매,"['#수상', '#매실', '#국내', '#원매', '#주류', '#제품', '#과실']"
333,원조 한산소곡주,"['#소곡주', '#한산', '#있는', '#마시', '#사용', '#빚는', '#전통']"
334,원조소곡화주,"['#소곡주', '#있는', '#한산소', '#빚는', '#사용', '#누룩', '#전통']"
335,월매 쌀막걸리,"['#막걸리', '#쌀막걸리', '#제품', '#살균', '#생산']"
336,유기농 이도 42,"['#증류', '#이도', '#양조장']"
337,유기농 이도14,"['#이도', '#전통주']"
338,유자 동동주,"['#생산', '#대표', '#막걸리', '#제품', '#성포양조장', '#수상하', '#거제도']"
339,유자 생 막걸리,"['#있는', '#막걸리', '#제품', '#배정도가']"
340,율무 동동주,"['#연천', '#막걸리', '#누룩', '#율무', '#양조']"
341,은자골 곶감 생 탁배기,"['#막걸리', '#은척', '#있는', '#전통', '#양조장', '#곶감', '#상주']"
342,은자골 생 탁배기,"['#양조장', '#막걸리', '#전통', '#상주']"
343,이강주 2호,"['#이강주', '#명인']"
344,이강주 특7호,"['#이강주', '#명인']"
345,이도 32,['#이도']
346,이동 생 쌀 막걸리,"['#이동', '#포천', '#막걸리']"
347,이동 쌀 막걸리,"['#막걸리', '#포천', '#이동']"
348,이상헌 약주,"['#이가수불', '#술이', '#전통']"
349,이상헌 탁주,"['#술이', '#있는', '#전통']"
350,이화백주,['#탄산']
351,이화주,"['#전통', '#누룩']"
352,인천 생 소성주,"['#인천', '#막걸리', '#역사']"
353,입장탁주,"['#제품', '#생쌀']"
354,자두와인 레드,"['#자두', '#있는', '#김천']"
355,자두와인 화이트,"['#자두', '#있는', '#김천']"
356,자연담은 복분자막걸리,"['#복분자', '#막걸리', '#국내']"
357,자희향,
358,자희향 국화주,
359,자희향 나비,['#전통']
360,장수 생 막걸리,"['#막걸리', '#제품', '#생산']"
361,장수 오미자주,"['#오미자', '#장수', '#제품']"
362,장홍삼 장수 막걸리,"['#막걸리', '#제품', '#장수', '#서울장수막걸리', '#생산하', '#국내']"
363,정고집 나주배 약주 15%,"['#약주', '#남도탁주', '#빚어', '#제조']"
364,정고집 나주배 약주 9%,"['#약주', '#남도탁주', '#빚어', '#제조']"
365,정고집 나주쌀 생막걸리,"['#제조사', '#남도', '#술을', '#막걸리', '#품질', '#나주', '#만들']"
366,정고집 옛날 생동동주,"['#생동동주', '#남도', '#동동주', '#막걸리', '#술을', '#제조', '#전통']"
367,제주 고소리술,"['#고소리술', '#술이', '#양조장', '#전통']"
368,젤코바 스페셜와인,"['#와인을', '#산머루']"
369,젤코바 캠벨와인,"['#와인', '#유기농', '#캠벨']"
370,젤코바 프리미엄와인,"['#와인을', '#포도', '#산머루']"
371,조선주조사,"['#있는', '#아침', '#전통', '#우포의', '#창원', '#양조']"
372,주몽 복분자주,"['#주몽', '#복분자주', '#제품']"
373,주산지 막걸리,"['#막걸리', '#청송', '#대표']"
374,죽력고,"['#죽력고', '#대나무']"
375,줄포 생 막걸리,"['#전통주', '#제품', '#제조']"
376,지란지교 약주,['#지란지교']
377,지란지교 탁주,"['#단맛', '#신맛', '#지란지교']"
378,지리산 허브잎 술,"['#막걸리', '#제품', '#수상']"
379,지리산 정담 생쌀 막걸리,"['#막걸리', '#운봉주조', '#수상']"
380,지장수 호박 생 막걸리,"['#지장수', '#막걸리']"
381,지평 생 쌀막걸리 (700ml),"['#있는', '#지평', '#양조장']"
382,지평 생 쌀막걸리 (1.7L),"['#있는', '#지평', '#양조장', '#막걸리']"
383,지평 생 옛막걸리,"['#있는', '#막걸리', '#지평', '#양조장']"
384,진도홍주 루비콘,"['#진도', '#지초', '#전통']"
385,진맥소주 22%,"['#진맥소주', '#증류', '#맹개']"
386,진맥소주 40%,"['#진맥소주', '#증류', '#맹개']"
387,진맥소주 53%,"['#진맥소주', '#증류', '#맹개']"
388,진심 홍삼주 19도,['#진안']
389,진쾌남,"['#제품', '#증류주', '#공주']"
390,찰막걸리 750ml,"['#막걸리', '#찹쌀', '#제품', '#제조']"
391,창원 생탁주,"['#있는', '#막걸리', '#창원', '#전통', '#대표', '#양조']"
392,천년담주,"['#막걸리', '#담양', '#제품', '#수상']"
393,천년전주 생 막걸리,"['#막걸리', '#있는', '#양조장']"
394,천년주,"['#천년초', '#영덕주조', '#있는', '#지역', '#술을', '#제조']"
395,천등산 차례주,"['#청주', '#술을', '#약주']"
396,천마 이야기 막걸리,"['#천마', '#제조']"
397,천마몽,"['#있는', '#천마', '#머루', '#수상']"
398,천매,"['#매실', '#수상', '#국내', '#제품', '#최상', '#과실', '#주세']"
399,천비향 오양주 약주,"['#약주', '#마시', '#빚는']"
400,천비향 오양주 탁주,"['#탁주', '#빚는']"
401,천비향 화주,"['#증류한', '#오양주', '#약주를', '#제품', '#빚는']"
402,천안 연미주,"['#생쌀', '#쌀을']"
403,천지주가 생 막걸리,"['#있는', '#막걸리', '#양조장', '#음악']"
404,청남대 블루베리 막걸리,"['#막걸리', '#명세주가', '#백족산', '#청원']"
405,청명주 500,"['#청명주', '#양조']"
406,청명주 750,"['#청명주', '#양조']"
407,청산녹수 꿀막걸리,"['#전통', '#제품']"
408,청산녹수 사미인주,"['#청산녹수', '#전통', '#사미']"
409,청산녹수 생탁주,"['#제품', '#전통', '#청산']"
410,청세주,['#병영주조']
